 1/ 5/1904	450A 4E59 +
 1/14/1904	450A 4E59  
 1/20/1904	4DEA 4E59  
 1/21/1904	4DEA 4E5A -
 1/30/1904	4DEA 4E66 -
 2/15/1904	4DEA 4E66  
 2/20/1904	4DEA 4E67 -
 2/24/1904	4DEA 4E73 -
 2/27/1904	 18A 4E73 -
 3/ 1/1904	 18A 0233 -
 3/ 7/1904	 18A 0233  
 3/20/1904	 18A 023P  
 3/21/1904	 18A 0234 +
 3/24/1904	 18A 0234  
 4/ 7/1904	 84A 0234  
 4/ 8/1904	 84A 0234 +
 4/13/1904	 84A 01D0 +
 4/21/1904	 84A 01D1  
 5/ 8/1904	 84A 01DJ  
 5/18/1904	 P0A 01DJ  
 5/22/1904	 P0A 01DL -
 6/ 1/1904	 P0A 01EA -
 6/14/1904	 P0A 01EA  
 6/22/1904	 P0A 01ED -
 6/26/1904	 P0A 01J7 -
 7/ 1/1904	15EA 01J7 -
 7/ 2/1904	15EA 01J7  
 7/16/1904	15EA 01J7 +
 7/20/1904	15EA 01L3 +
 7/23/1904	15EA 01L4  
 8/ 2/1904	15EA 01L4 +
 8/ 9/1904	15EA 08A4 +
 8/13/1904	15EA 08D0 +
 8/15/1904	1E8A 08D0 +
 8/24/1904	1E8A 08D1  
 8/28/1904	1E8A 08D1 +
 9/ 1/1904	1E8A 01P1 +
 9/ 7/1904	1E8A 01PJ +
 9/ 8/1904	1E8A 01PJ  
 9/23/1904	1E8A 01PL -
10/ 1/1904	1E8A 020A -
10/ 2/1904	234A 020A -
10/ 9/1904	234A 020A  
10/24/1904	234A 020D -
10/25/1904	234A 0217 -
10/27/1904	234A 0217  
11/15/1904	234A 0217 +
11/19/1904	234A 0223 +
11/20/1904	2A0A 0223 +
11/23/1904	2A0A 0224  
12/ 5/1904	2A0A 0224 +
12/13/1904	2A0A 0230 +
12/21/1904	2A16 0230 +
12/22/1904	2A16 0231  
 1/ 8/1905	2A16 023J  
 1/14/1905	30J6 023J  
 1/21/1905	30J6 023L -
 2/ 3/1905	30J6 01DA -
 2/ 9/1905	30J6 01DA  
 2/19/1905	30J6 01DD -
 2/28/1905	30J6 01DD  
 3/ 6/1905	30J6 01E7  
 3/ 8/1905	30J6 0887  
 3/16/1905	30J6 0887 -
 3/21/1905	30J6 087E  
 4/ 2/1905	30J6 087E +
 4/13/1905	30J7 087E +
 4/21/1905	30J7 087J  
 4/29/1905	30J7 087J -
 5/ 9/1905	30J7 0871 -
 5/16/1905	30J7 0871  
 5/22/1905	30J7 0872 -
 5/28/1905	30J7 087L -
 6/ 9/1905	30J7 087L  
 6/22/1905	30J7 087P -
 6/23/1905	30J7 087P  
 7/ 8/1905	30J7 088D +
 7/21/1905	30J7 0P4D +
 7/24/1905	30J7 0P4E  
 7/27/1905	30J7 0P4E +
 8/ 6/1905	30J7 0P58 +
 8/17/1905	30J6 0P58 +
 8/22/1905	3796 0P58 +
 8/24/1905	3796 0P59  
 9/ 2/1905	3796 0P65  
 9/24/1905	3796 0P66 -
 9/27/1905	3796 0P72 -
10/ 2/1905	3796 0P72  
10/ 8/1905	3L56 0P72  
10/19/1905	3L56 0P72 +
10/22/1905	3L56 0P7L +
10/24/1905	3L56 0P7P  
11/ 8/1905	3L56 0P7P +
11/15/1905	3L56 0P8D +
11/18/1905	4516 0P8D +
11/23/1905	4516 0P8E  
12/ 2/1905	4516 0P8E +
12/ 5/1905	4516 08EE +
12/ 9/1905	4516 08J8 +
12/10/1905	4516 08J8  
12/23/1905	4516 08J9 -
12/28/1905	4DJ6 08J9 -
 1/ 2/1906	4DJ6 08L5 -
 1/ 9/1906	4DJ7 08L5 -
