 1/ 1/1979	42D9 1PJJ -
10/29/1990	1425 206D  
10/31/1990	0JP5 206D  
11/ 2/1990	0L85 206D  
11/ 4/1990	0P15 206D  
11/ 6/1990	0PA5 206D  
11/ 8/1990	1035 206D  
11/11/1990	10E5 206D +
11/13/1990	1155 206D +
11/15/1990	11L5 206D +
11/18/1990	1275 2077 +
11/20/1990	1305 2077 +
11/23/1990	1395 2078  
11/25/1990	1425 2078  
11/28/1990	0JP5 2078  
11/30/1990	0L85 2078  
12/ 2/1990	0P15 2078 +
12/ 4/1990	0PA5 2078 +
12/ 6/1990	1035 2078 +
12/ 8/1990	10E5 2078 +
12/10/1990	1155 2078 +
12/12/1990	1155 2084 +
12/13/1990	11L5 2084 +
12/14/1990	0D25 2084 +
12/15/1990	0DD5 2084 +
12/18/1990	0E45 2084 +
12/20/1990	0EJ5 2084 +
12/22/1990	0EJ5 2085  
12/23/1990	0J65 2085  
12/25/1990	0735 2085  
12/26/1990	0735 2085 -
12/27/1990	07E5 2085 -
12/29/1990	0855 2085 -
12/31/1990	08L5 2085 -
 1/ 2/1991	0975 2085 -
 1/ 4/1991	0A05 2085 -
 1/ 5/1991	0A05 2091 -
 1/ 6/1991	0A95 2091 -
 1/ 9/1991	0D25 2091 -
 1/11/1991	0DD5 2091 -
 1/14/1991	0E45 2091  
 1/16/1991	0EJ5 2091  
 1/19/1991	0J65 2091  
 1/21/1991	0JP5 2092 -
 1/23/1991	0L85 2092 -
 1/26/1991	0P15 2092 -
 1/28/1991	0PA5 2092 -
 1/29/1991	0PA5 209L -
 1/30/1991	1035 209L -
 2/ 1/1991	10E5 209L -
 2/ 3/1991	1155 209L -
 2/ 5/1991	11L5 209L -
 2/ 6/1991	11L5 209L  
 2/ 7/1991	11L6 209L  
 2/ 8/1991	1276 209L  
 2/10/1991	1306 209L  
 2/13/1991	1396 209L  
 2/15/1991	1426 209L  
 2/17/1991	0JP6 209L  
 2/19/1991	0JP6 209P -
 2/20/1991	0L86 209P -
 2/22/1991	0P16 201D -
 2/24/1991	0PA6 201D  
 2/26/1991	1036 201D  
 2/28/1991	10E6 201D  
 3/ 2/1991	1156 201D  
 3/ 5/1991	11L6 201D  
 3/ 7/1991	1276 201D  
 3/10/1991	1306 201D  
 3/12/1991	1396 201D +
 3/14/1991	1426 201D +
 3/17/1991	0JP6 201D +
 3/19/1991	0L86 2027 +
 3/21/1991	0P16 201E  
 3/23/1991	0PA6 201E  
 3/25/1991	1036 201E  
 3/27/1991	10E6 201E  
 3/30/1991	1156 201E  
 4/ 1/1991	11L6 201E  
 4/ 3/1991	1936 201E  
 4/ 6/1991	19E6 201E  
 4/ 8/1991	1A56 201E  
 4/11/1991	1AL6 201E  
 4/13/1991	14D6 2028  
 4/15/1991	1546 2028  
 4/17/1991	15J6 2028  
 4/19/1991	1666 2028  
 4/21/1991	16P6 2029 -
 4/24/1991	1786 2029 -
 4/26/1991	1816 2029 -
 4/28/1991	18A6 2029 -
 5/ 1/1991	1936 2029 -
 5/ 3/1991	19E6 2029 -
 5/ 6/1991	1A56 2029 -
 5/ 8/1991	1AL6 2029 -
 5/ 9/1991	1AL6 2035 -
 5/10/1991	14D6 2035 -
 5/13/1991	1546 2035 -
 5/15/1991	15J6 2035 -
 5/17/1991	1666 2035  
 5/19/1991	16P6 2035  
 5/21/1991	1786 2035  
 5/22/1991	1786 2036 -
 5/23/1991	1816 2036 -
 5/25/1991	18A6 2036 -
 5/27/1991	1P66 2036 -
 5/28/1991	1PP6 2036 -
 5/30/1991	2086 2036 -
 6/ 2/1991	2116 2036 -
 6/ 4/1991	21A6 2036 -
 6/ 5/1991	21A6 2036  
 6/ 6/1991	21A6 2042  
 6/ 7/1991	1D76 2042  
 6/ 9/1991	1E06 2042  
 6/11/1991	1E96 2042  
 6/13/1991	1J26 2042  
 6/15/1991	1JD6 2042  
 6/17/1991	1L46 2042  
 6/19/1991	1LJ6 2042 +
 6/22/1991	1P66 2043  
 6/24/1991	1PP6 2043  
 6/27/1991	2086 2043  
 6/29/1991	2116 2043  
 7/ 2/1991	21A6 2043  
 7/ 4/1991	1D76 2043 +
 7/ 6/1991	1E06 2043 +
 7/ 9/1991	1E96 2043 +
 7/11/1991	1J26 204P +
 7/13/1991	1JD6 204P +
 7/15/1991	1L46 204P +
 7/16/1991	2506 204P +
 7/17/1991	2596 204P +
 7/19/1991	2626 204P +
 7/21/1991	26D6 204P +
 7/23/1991	26D6 2050  
 7/24/1991	2746 2050  
 7/26/1991	27J6 2050  
 7/27/1991	27J6 2050 +
 7/29/1991	2866 2050 +
 7/31/1991	2236 2050 +
 8/ 3/1991	22E6 2050 +
 8/ 5/1991	2356 2050 +
 8/ 7/1991	23L6 2050 +
 8/ 9/1991	2476 2050 +
 8/11/1991	2506 2050 +
 8/13/1991	2596 2050 +
 8/15/1991	2626 2050 +
 8/18/1991	26D6 2050 +
 8/20/1991	2746 2050  
 8/22/1991	2746 2044  
 8/23/1991	27J6 2044  
 8/24/1991	27J6 2045 -
 8/25/1991	2866 2045 -
 8/28/1991	2236 2045 -
 8/30/1991	22E6 2045 -
 9/ 1/1991	2A16 2045 -
 9/ 3/1991	2AA6 2045 -
 9/ 5/1991	2D36 2045 -
 9/ 7/1991	2DE6 2045 -
 9/ 9/1991	2E56 2045 -
 9/11/1991	2E56 2045  
 9/12/1991	2EL6 2705  
 9/14/1991	2J76 2705  
 9/17/1991	2L06 2705  
 9/19/1991	2L96 2705  
 9/22/1991	2P26 2705  
 9/24/1991	28P6 2706 -
 9/26/1991	2986 2706 -
 9/28/1991	2A16 2706  
 9/30/1991	2AA6 2706  
10/ 3/1991	2D36 2706  
10/ 5/1991	2DE6 2706  
10/ 7/1991	2E56 2712  
10/ 9/1991	2EL6 2712  
10/11/1991	2J76 2712  
10/14/1991	2L06 2712  
10/16/1991	2L96 2712 +
10/17/1991	3556 2712 +
10/19/1991	35L6 2712 +
10/21/1991	2PD6 2712 +
10/23/1991	3046 2712 +
10/24/1991	3046 2713  
10/26/1991	30J6 2713  
10/28/1991	3166 2713  
10/30/1991	31P6 2713  
11/ 1/1991	3286 2713  
11/ 3/1991	3316 2713  
11/ 4/1991	3316 2713 +
11/ 5/1991	33A6 2713 +
11/ 8/1991	3436 2713 +
11/ 9/1991	3436 271P +
11/10/1991	34E6 271P +
11/13/1991	3556 271P +
11/15/1991	35L6 271P +
11/18/1991	2PD6 271P +
11/20/1991	3046 271P +
11/22/1991	30J6 271P +
11/23/1991	30J6 2720  
11/24/1991	3166 2720  
11/26/1991	31P6 2720  
11/28/1991	3286 2720  
11/29/1991	3946 2720  
11/30/1991	39J6 2720  
12/ 3/1991	3A66 2720  
12/ 5/1991	3AP6 2720  
12/ 6/1991	3AP6 272E  
12/ 8/1991	3D86 272E  
12/10/1991	3E16 272E  
12/13/1991	3EA6 272E  
12/15/1991	3676 272E  
12/17/1991	3706 272E  
12/19/1991	3796 272E  
12/21/1991	3826 272E  
12/22/1991	3826 272J -
12/23/1991	38D6 272J -
12/26/1991	3946 272J -
12/28/1991	39J6 272J -
12/30/1991	3A66 272J -
 1/ 1/1992	3AP6 2739 -
 1/ 4/1992	3D86 2739 -
 1/ 6/1992	3E16 2739 -
 1/ 9/1992	4366 2739 -
 1/10/1992	4366 2739  
 1/11/1992	3J36 2739  
 1/14/1992	3JE6 2739  
 1/16/1992	3L56 2739  
 1/18/1992	3LL6 2739  
 1/20/1992	3P76 2739  
 1/21/1992	3P76 273A -
 1/22/1992	4006 273A -
 1/24/1992	4096 273A -
 1/25/1992	4096 2746 -
 1/26/1992	4126 2746 -
 1/29/1992	41D6 2746 -
 1/30/1992	41D6 2746  
 1/31/1992	4246 2746  
 2/ 3/1992	42J6 2746  
 2/ 5/1992	4366 2746  
 2/ 8/1992	3J36 2746  
 2/10/1992	3JE6 2746  
 2/12/1992	3L56 2746  
 2/14/1992	3LL6 2746  
 2/16/1992	3P76 2746 +
 2/18/1992	46E6 2746 +
 2/19/1992	46E6 2753  
 2/20/1992	4756 2753  
 2/23/1992	47L6 2753  
 2/25/1992	4876 2753  
 2/27/1992	4906 2753  
 3/ 1/1992	4996 2753  
 3/ 3/1992	4A26 2753  
 3/ 4/1992	4A26 2753 +
 3/ 6/1992	43P6 2753 +
 3/ 8/1992	4486 2753 +
 3/11/1992	4516 2753 +
 3/13/1992	45A6 2753 +
 3/14/1992	45A6 275P +
 3/15/1992	4636 275P +
 3/17/1992	46E6 275P +
 3/19/1992	4756 275P +
 3/20/1992	4756 2754  
 3/21/1992	47L6 2754  
 3/23/1992	4876 2754  
 3/26/1992	4906 2754  
 3/28/1992	5056 2754  
 3/31/1992	50L6 2754  
 4/ 2/1992	4AD6 2754  
 4/ 4/1992	4D46 2754 -
 4/ 7/1992	4DJ6 26J0 -
 4/ 9/1992	4E66 26J0 -
 4/11/1992	4EP6 26J0 -
 4/13/1992	4J86 26J0 -
 4/15/1992	4L16 26J0  
 4/17/1992	4LA6 26J0  
 4/20/1992	4P36 26J1 -
 4/22/1992	4PE6 26J1 -
 4/24/1992	5056 26J1 -
 4/27/1992	50L6 26J1 -
 4/29/1992	4AD6 26J1 -
 5/ 2/1992	4D46 26JJ -
 5/ 4/1992	4DJ6 26JJ -
 5/ 6/1992	0226 26JJ -
 5/ 8/1992	02D6 26JJ -
 5/10/1992	0346 26JJ -
 5/11/1992	0346 26JJ  
 5/13/1992	03J6 26JJ  
 5/15/1992	0466 26JJ  
 5/17/1992	04P6 26JJ  
 5/19/1992	0586 26JJ  
 5/21/1992	0586 26JL -
 5/22/1992	0616 26JL -
 5/24/1992	06A6 26JL -
 5/26/1992	06A6 26LA -
 5/27/1992	0076 26LA  
 5/29/1992	0106 26LA  
 5/31/1992	0196 26LA  
 6/ 2/1992	0226 26LA  
 6/ 5/1992	02D6 26LA  
 6/ 7/1992	0346 26LA  
 6/ 9/1992	03J6 26LA  
 6/10/1992	03J6 26LA +
 6/11/1992	0466 26LA +
 6/13/1992	04P6 26LA +
 6/15/1992	0DD6 26LA +
 6/16/1992	0E46 26LA +
 6/18/1992	0EJ6 26LA +
 6/19/1992	0EJ6 26P6 +
 6/21/1992	0J66 26P7  
 6/23/1992	0736 26P7  
 6/26/1992	07E6 26P7  
 6/27/1992	07E6 26P7 +
 6/28/1992	0856 26P7 +
 6/30/1992	08L6 26P7 +
 7/ 2/1992	0976 26P7 +
 7/ 4/1992	0A06 26P7 +
 7/ 6/1992	0A96 26P7 +
 7/ 8/1992	0D26 26P7 +
 7/11/1992	0DD6 26P7 +
 7/13/1992	0E46 26P7 +
 7/14/1992	0E46 2703 +
 7/15/1992	0EJ6 2703 +
 7/18/1992	0J66 2703 +
 7/20/1992	0736 2703 +
 7/23/1992	07E6 2704  
 7/25/1992	0856 2704  
 7/27/1992	0PA6 2704  
 7/29/1992	1036 2704  
 7/31/1992	10E6 2704  
 8/ 2/1992	1156 2704  
 8/ 4/1992	11L6 2704  
 8/ 7/1992	1276 2710  
 8/ 9/1992	1306 2710  
 8/12/1992	1396 2710  
 8/14/1992	1426 2710  
 8/17/1992	0JP6 2710  
 8/19/1992	0L86 2710  
 8/22/1992	0P16 2710  
 8/23/1992	0P16 2711 -
 8/24/1992	0PA6 2711 -
 8/26/1992	1036 2711 -
 8/28/1992	10E6 2711 -
 8/30/1992	1156 2711 -
 9/ 1/1992	11L6 271J -
 9/ 3/1992	1276 271J  
 9/ 5/1992	1306 271J  
 9/ 8/1992	1396 271J  
 9/10/1992	1426 271J  
 9/12/1992	1AL6 271J  
 9/13/1992	14D6 271J  
 9/15/1992	1546 271J  
 9/18/1992	15J6 271J  
 9/19/1992	15J6 271J +
 9/20/1992	1666 271J +
 9/22/1992	16P6 271J +
 9/23/1992	16P6 271L  
 9/24/1992	1786 271L  
 9/25/1992	1786 272A  
 9/26/1992	1816 272A  
 9/28/1992	18A6 272A  
 9/30/1992	1936 272A  
10/ 3/1992	19E6 272A  
10/ 5/1992	1A56 272A  
10/ 7/1992	1A56 272A +
10/ 8/1992	1AL6 272A +
10/10/1992	14D6 272A +
10/11/1992	14D6 2JLA +
10/13/1992	1546 2JLA +
10/15/1992	15J6 2JLA +
10/17/1992	1666 2JLA +
10/19/1992	16P6 2JLA +
10/20/1992	16P6 2JP6 +
10/22/1992	1786 2JP6 +
10/23/1992	1786 2JP7  
10/24/1992	1816 2JP7  
10/26/1992	18A6 2JP7  
10/28/1992	1936 2JP7  
10/30/1992	19E6 2JP7 +
11/ 2/1992	1A56 2JP7 +
11/ 4/1992	1AL6 2JP7 +
11/ 7/1992	14D6 2JP7 +
11/ 9/1992	1546 2JP7 +
11/11/1992	15J6 2JP7 +
11/14/1992	1666 2L03 +
11/16/1992	16P6 2L03 +
11/18/1992	1786 2L03 +
11/20/1992	1816 2L03 +
11/22/1992	18A6 2L04 -
11/24/1992	1936 2L04 -
11/26/1992	19E6 2L04 -
11/29/1992	1A56 2L04 -
12/ 1/1992	1AL6 2L04 -
12/ 4/1992	14D6 2L04 -
12/ 6/1992	1546 2L04 -
12/ 9/1992	15J6 2L10 -
12/11/1992	1666 2L10 -
12/12/1992	1666 2L10  
12/13/1992	16P6 2L10  
12/15/1992	1786 2L10  
12/17/1992	1816 2L10  
12/19/1992	18A6 2L10  
12/22/1992	1936 2L11 -
12/24/1992	19E6 2L11 -
12/26/1992	1A56 2L11 -
12/29/1992	1AL6 2L11 -
12/31/1992	14D6 2L11 -
 1/ 3/1993	1546 2L11  
 1/ 4/1993	1546 2L1J  
 1/ 5/1993	15J6 2L1J  
 1/ 7/1993	1666 2L1J  
 1/ 9/1993	16P6 2L1J  
 1/11/1993	1786 2L1J  
 1/13/1993	1816 2L1J  
 1/16/1993	18A6 2L1J  
 1/18/1993	1936 2L1J  
 1/20/1993	19E6 2L1L -
 1/21/1993	19E6 2L1L  
 1/23/1993	1A56 2L1L  
 1/25/1993	1AL6 2L1L  
 1/28/1993	14D6 2L1L  
 1/30/1993	1546 2L1L  
 2/ 1/1993	15J6 2L1L  
 2/ 3/1993	15J6 2J9A  
 2/ 4/1993	1666 2J9A  
 2/ 6/1993	16P6 2J9A  
 2/ 8/1993	1786 2J9A +
 2/10/1993	1816 2J9A +
 2/12/1993	18A6 2J9A +
 2/14/1993	1936 2J9A +
 2/16/1993	19E6 2J9A +
 2/19/1993	1A56 2J9D  
 2/21/1993	1AL6 2J9D  
 2/24/1993	14D6 2J9D  
 2/26/1993	1546 2J9D  
 3/ 1/1993	15J6 2J9D  
 3/ 3/1993	1666 2J9D  
 3/ 5/1993	16P6 2J9D  
 3/ 7/1993	1786 2J9D  
 3/ 9/1993	1816 2J9D  
 3/11/1993	18A6 2J9D  
 3/13/1993	1936 2J9D  
 3/16/1993	19E6 2J9D  
 3/18/1993	1A56 2J9D  
 3/21/1993	1AL6 2J90 -
 3/23/1993	14D6 2J90 -
 3/26/1993	1546 2J90 -
 3/28/1993	15J6 2J90 -
 3/30/1993	1666 2J90 -
 4/ 2/1993	16P6 2J90 -
 4/ 4/1993	1786 2J90 -
 4/ 6/1993	1816 2J90 -
 4/ 8/1993	18A6 2J90 -
 4/10/1993	1936 2J90 -
 4/12/1993	19E6 2J90 -
 4/14/1993	1A56 2J90 -
 4/16/1993	1A56 2J90  
 4/17/1993	1AL6 2J90  
 4/19/1993	14D6 2J90  
 4/20/1993	14D6 2J91 -
 4/22/1993	1546 2J91 -
 4/24/1993	15J6 2J91 -
 4/27/1993	1666 2J91 -
 4/28/1993	1J26 2J91 -
 4/29/1993	1JD6 2J91 -
 5/ 1/1993	1L46 2J91 -
 5/ 3/1993	1LJ6 2J91 -
 5/ 4/1993	1LJ6 2J91  
 5/ 5/1993	1P66 2J91  
 5/ 7/1993	1PP6 2J91  
 5/ 9/1993	2086 2J91  
 5/12/1993	2116 2J91  
 5/14/1993	21A6 2J91  
 5/17/1993	1D76 2J91  
 5/18/1993	1D76 2J91 +
 5/19/1993	1E06 2J91 +
 5/21/1993	1E07 2J92  
 5/22/1993	1E97 2J92  
 5/24/1993	1J27 2J92  
 5/26/1993	1JD7 2J92  
 5/28/1993	1L47 2J92  
 5/30/1993	1LJ7 2J92  
 6/ 1/1993	1P67 2J92  
 6/ 2/1993	1P67 2J92 +
 6/ 4/1993	1PP7 2J92 +
 6/ 6/1993	2087 2J9L +
 6/ 8/1993	2117 2J9L +
 6/10/1993	21A7 2J9L +
 6/13/1993	1D77 2J9L +
 6/15/1993	1E07 2J9L +
 6/18/1993	1E97 2J9L +
 6/20/1993	1J27 2J9L +
 6/21/1993	1J27 2J9P  
 6/22/1993	1JD7 2J9P  
 6/23/1993	2477 2J9P  
 6/24/1993	2507 2J9P  
 6/27/1993	2597 2J9P  
 6/29/1993	2627 2J9P  
 6/30/1993	2626 2J9P  
 7/ 1/1993	26D6 2J9P  
 7/ 3/1993	2746 2J9P  
 7/ 5/1993	27J6 2J9P  
 7/ 6/1993	27J6 2JAD  
 7/ 8/1993	2866 2JAD  
 7/10/1993	2236 2JAD  
 7/13/1993	22E6 2JAD  
 7/15/1993	2356 2JAD  
 7/18/1993	23L6 2JAD  
 7/20/1993	2476 2JAD  
 7/22/1993	2506 2JAD  
 7/23/1993	2506 2JAE -
 7/24/1993	2596 2JAE -
 7/26/1993	2626 2JAE -
 7/28/1993	26D6 2JAE -
 7/30/1993	2746 2JAE -
 8/ 2/1993	27J6 2JD8 -
 8/ 4/1993	2866 2JD8 -
 8/ 7/1993	2236 2JD8 -
 8/ 9/1993	22E6 2JD8 -
 8/10/1993	22E6 2JD8  
 8/12/1993	2A16 2JD8  
 8/14/1993	2AA6 2JD8  
 8/16/1993	2D36 2JD8  
 8/18/1993	2DE6 2JD8  
 8/20/1993	2E56 2JD8  
 8/22/1993	2EL6 2JD8  
 8/23/1993	2EL6 2JD9 -
 8/24/1993	2J76 2JD9 -
 8/26/1993	2J76 2JD9  
 8/27/1993	2L06 2JD9  
 8/28/1993	2L06 2JE5  
 8/29/1993	2L96 2JE5  
 8/31/1993	2P26 2JE5  
 9/ 3/1993	28P6 2JE5  
 9/ 5/1993	2986 2JE5  
 9/ 8/1993	2A16 2JE5  
 9/10/1993	2AA6 2JE5  
 9/11/1993	2AA6 2JE5 +
 9/13/1993	2D36 2JE5 +
 9/15/1993	2DE6 2JE5 +
 9/17/1993	2E56 2JE5 +
 9/19/1993	2EL6 2JE5 +
 9/21/1993	2J76 2JE5 +
 9/22/1993	2J76 2JJ1 +
 9/23/1993	2L06 2JJ2  
 9/25/1993	2L96 2JJ2  
 9/27/1993	3556 2JJ2  
 9/28/1993	35L6 2JJ2  
 9/30/1993	2PD6 2JJ2  
10/ 1/1993	2PD6 2JJ2 +
10/ 3/1993	3046 2JJ2 +
10/ 5/1993	30J6 2JJ2 +
10/ 8/1993	3166 2JJ2 +
10/10/1993	31P6 2JJ2 +
10/12/1993	3286 2JJ2 +
10/14/1993	3316 2JJ2 +
10/16/1993	33A6 2JJL +
10/18/1993	3436 2JJL +
10/20/1993	34E6 2JJL +
10/22/1993	3556 2JJL +
10/23/1993	3556 2JJP  
10/25/1993	35L6 2JJP  
10/27/1993	2PD6 2JJP  
10/30/1993	3046 2JJP  
11/ 1/1993	30J6 2JJP  
11/ 4/1993	3166 2JJP  
11/ 6/1993	31P6 2JJP  
11/ 8/1993	3286 2JJP  
11/ 9/1993	3946 2JLD  
11/10/1993	39J6 34AD  
11/12/1993	3A66 34AD  
11/14/1993	3AP6 34AD  
11/17/1993	3D86 34AD  
11/19/1993	3E16 34AD  
11/21/1993	3EA6 34AD  
11/22/1993	3EA6 34AE -
11/24/1993	3676 34AE -
11/26/1993	3706 34AE -
11/29/1993	3796 34AE -
12/ 1/1993	3826 34AE -
12/ 3/1993	38D6 34D8 -
12/ 6/1993	3946 34D8 -
12/ 7/1993	3946 34D8  
12/ 8/1993	39J6 34D8  
12/10/1993	3A66 34D8  
12/12/1993	3AP6 34D8  
12/14/1993	3D86 34D8  
12/16/1993	3E16 34D8  
12/19/1993	3EA6 34D8  
12/20/1993	4366 34D8  
12/21/1993	3J36 34D8  
12/22/1993	3J36 34D9 -
12/24/1993	3JE6 34D9 -
12/26/1993	3L56 34D9 -
12/27/1993	3L56 34E5  
12/28/1993	3LL6 34E5  
12/31/1993	3P76 34E5  
 1/ 2/1994	4006 34E5  
 1/ 4/1994	4096 34E5  
 1/ 6/1994	4126 34E5  
 1/ 8/1994	41D6 34E5  
 1/10/1994	4246 34E5  
 1/13/1994	42J6 34E5  
 1/14/1994	42J6 34E5 +
 1/15/1994	4366 34E5 +
 1/17/1994	3J36 34E5 +
 1/20/1994	3JE6 34J2  
 1/22/1994	3L56 34J2  
 1/25/1994	3LL6 34J2  
 1/27/1994	3P76 34J2  
 1/28/1994	4636 34J2  
 1/29/1994	46E7 34J2  
 1/31/1994	4757 34J2  
 2/ 1/1994	4757 34J2 +
 2/ 2/1994	47L7 34J2 +
 2/ 4/1994	4877 34J2 +
 2/ 7/1994	4907 34J2 +
 2/ 9/1994	4997 34J2 +
 2/11/1994	4A27 34J2 +
 2/13/1994	4A27 34JL +
 2/14/1994	43P7 34JL +
 2/16/1994	4487 34JL +
 2/19/1994	4517 34JP  
 2/21/1994	45A7 34JP  
 2/22/1994	45A7 34JP -
 2/23/1994	4637 34JP -
 2/26/1994	46E7 34JP -
 2/28/1994	4757 34JP -
 3/ 2/1994	47L7 34JP -
 3/ 4/1994	4877 34JP -
 3/ 6/1994	4907 34JP -
 3/ 7/1994	4PE7 34JP -
 3/ 8/1994	5057 34JP -
 3/ 9/1994	5057 345D -
 3/11/1994	50L7 345D -
 3/13/1994	4AD7 345D -
 3/16/1994	4D47 345D -
 3/18/1994	4DJ7 345D -
 3/19/1994	4DJ7 345D  
 3/21/1994	4E67 3450 -
 3/23/1994	4EP7 3450 -
 3/25/1994	4J87 3450 -
 3/27/1994	4L17 3450 -
 3/29/1994	4LA7 3450 -
 3/31/1994	4P37 3450 -
 4/ 2/1994	4PE7 345E -
 4/ 4/1994	5057 345E -
 4/ 7/1994	50L7 345E -
 4/ 9/1994	4AD7 345E -
 4/10/1994	4AD7 345E  
 4/12/1994	4D47 345E  
 4/14/1994	4DJ7 345E  
 4/15/1994	0197 345E  
 4/17/1994	0227 345E  
 4/19/1994	02D7 345E  
 4/20/1994	02D7 345J -
 4/21/1994	0347 345J -
 4/23/1994	03J7 345J -
 4/25/1994	0467 345J -
 4/26/1994	0467 3469  
 4/27/1994	04P7 3469  
 4/30/1994	0587 3469  
 5/ 2/1994	0617 3469  
 5/ 4/1994	06A7 3469  
 5/ 7/1994	0077 3469  
 5/ 9/1994	0107 3469  
 5/10/1994	0107 3469 +
 5/12/1994	0197 3469 +
 5/14/1994	0227 3469 +
 5/16/1994	02D7 3469 +
 5/19/1994	0347 3469 +
 5/21/1994	03J7 3476  
 5/23/1994	0467 3476  
 5/24/1994	0D27 3476  
 5/25/1994	0DD7 3476  
 5/27/1994	0E47 3476  
 5/29/1994	0EJ7 3476 +
 5/31/1994	0J67 3476 +
 6/ 3/1994	0737 3476 +
 6/ 5/1994	07E7 3476 +
 6/ 8/1994	0857 3476 +
 6/10/1994	08L7 3476 +
 6/13/1994	0977 3476 +
 6/15/1994	0A07 3482 +
 6/17/1994	0A97 3482 +
 6/19/1994	0D27 3482 +
 6/21/1994	0DD7 3482 +
 6/22/1994	0DD7 3483  
 6/23/1994	0E47 3483  
 6/25/1994	0EJ7 3483  
 6/28/1994	0J67 3483  
 6/30/1994	0737 3483  
 7/ 3/1994	07E7 3483 -
 7/ 4/1994	0L87 3483 -
 7/ 5/1994	0P17 3483 -
 7/ 8/1994	0PA7 3483 -
 7/10/1994	1037 3483 -
 7/11/1994	1037 348P  
 7/12/1994	10E7 348P  
 7/14/1994	1157 348P  
 7/17/1994	11L7 348P  
 7/19/1994	1277 348P  
 7/21/1994	1307 348P  
 7/23/1994	1397 3490 -
 7/25/1994	1427 3490 -
 7/27/1994	0JP7 3490 -
 7/30/1994	0L87 3490 -
 8/ 1/1994	0P17 3490 -
 8/ 3/1994	0P17 3490  
 8/ 4/1994	0PA7 3490  
 8/ 6/1994	1037 3490  
 8/ 8/1994	10E7 349E  
 8/11/1994	1157 349E  
 8/13/1994	11L7 349E  
 8/15/1994	1277 349E  
 8/17/1994	19E7 349E  
 8/18/1994	19E7 349E +
 8/19/1994	1A57 349E +
 8/21/1994	1AL7 349E +
 8/23/1994	1AL7 349J  
 8/24/1994	14D7 349J  
 8/26/1994	1547 349J  
 8/29/1994	15J7 349J  
 8/31/1994	1667 349J  
 9/ 3/1994	16P7 349J  
 9/ 4/1994	16P7 349J +
 9/ 5/1994	1787 349J +
 9/ 7/1994	1817 349J +
 9/ 8/1994	1817 34A9 +
 9/ 9/1994	18A7 34A9 +
 9/11/1994	1937 34A9 +
 9/13/1994	19E7 34A9 +
 9/15/1994	1A57 34A9 +
 9/18/1994	1AL7 34A9 +
 9/20/1994	14D7 34A9 +
 9/23/1994	1547 34AA  
 9/25/1994	15J7 34AA  
 9/27/1994	15J7 34AA +
 9/28/1994	1667 34AA +
 9/30/1994	16P7 34AA +
10/ 2/1994	1787 34AA +
10/ 4/1994	1817 34AA +
10/ 5/1994	1LJ7 34AA +
10/ 6/1994	1P67 34AA +
10/ 8/1994	1PP7 34AA +
10/10/1994	2087 34AA +
10/13/1994	2117 34AA +
10/15/1994	21A7 34AA +
10/17/1994	1D77 34AA +
10/19/1994	1D77 34AA  
10/20/1994	1E07 34AA  
10/22/1994	1E97 34AA  
10/24/1994	1E97 34AD -
10/25/1994	1J27 34AD -
10/27/1994	1JD7 34AD -
10/30/1994	1L47 34AD -
11/ 1/1994	1LJ7 34AD -
11/ 3/1994	1P67 34AD -
11/ 5/1994	1PP7 34AD -
11/ 7/1994	2087 34AD -
11/ 9/1994	2117 34AD -
11/11/1994	21A7 34AD  
11/14/1994	1D77 34AD  
11/16/1994	1E07 34AD  
11/19/1994	1E97 34AD  
11/21/1994	1J27 34AD  
11/23/1994	1J27 34AE -
11/24/1994	1JD7 34AE -
11/26/1994	1L47 34AE -
11/28/1994	1LJ7 34AE -
11/30/1994	1P67 34AE  
12/ 2/1994	1PP7 34AE  
12/ 4/1994	2087 34AE  
12/ 6/1994	2117 34AE  
12/ 9/1994	21A7 3D6E  
12/11/1994	1D77 3D6E  
12/12/1994	2237 3D6E  
12/13/1994	22E7 3D6E  
12/16/1994	2357 3D6E  
12/18/1994	23L7 3D6E  
12/19/1994	23L7 3D6E +
12/21/1994	2477 3D6E +
12/22/1994	2477 3D6J  
12/23/1994	2507 3D6J  
12/26/1994	2597 3D6J  
12/28/1994	2627 3D6J  
12/30/1994	26D7 3D6J  
 1/ 1/1995	2747 3D6J  
 1/ 3/1995	27J7 3D6J  
 1/ 5/1995	2867 3D6J  
 1/ 7/1995	2237 3D6J +
 1/ 8/1995	2237 3D79 +
 1/10/1995	22E7 3D79 +
 1/12/1995	2357 3D79 +
 1/15/1995	23L7 3D79 +
 1/17/1995	2477 3D79 +
 1/19/1995	2507 3D79 +
 1/21/1995	2507 3D7A  
 1/22/1995	2597 3D7A  
 1/23/1995	1LJ7 3D7A  
 1/24/1995	1P67 3D7A  
 1/26/1995	1PP7 3D7A  
 1/28/1995	2087 3D7A  
 1/30/1995	2117 3D7A  
 2/ 1/1995	21A7 3D7A  
 2/ 4/1995	1D77 3D7A  
 2/ 5/1995	1D77 3D86  
 2/ 6/1995	1E07 3D86  
 2/ 9/1995	1E97 3D86  
 2/11/1995	1J27 3D86  
 2/13/1995	1JD7 3D86  
 2/16/1995	1L47 3D86  
 2/18/1995	1LJ7 3D86  
 2/19/1995	1LJ7 3D87 -
 2/20/1995	1P67 3D87 -
 2/22/1995	1PP7 3D87 -
 2/24/1995	2087 3D87 -
