 1/ 1/1979	42D9 1PJJ -
12/24/1979	2849 26E1 -
12/26/1979	2219 26E1 -
12/28/1979	22A9 26E1 -
12/30/1979	2339 26E1 -
 1/ 2/1980	23E9 26E1  
 1/ 4/1980	2459 26E1  
 1/ 6/1980	24L9 26E1  
 1/ 9/1980	2579 26E1  
 1/11/1980	2609 26E1  
 1/14/1980	2699 26E1  
 1/16/1980	2729 26EJ  
 1/18/1980	27D9 26EJ  
 1/20/1980	2849 26EJ  
 1/21/1980	2849 26EL  
 1/22/1980	2219 26EL  
 1/24/1980	22A9 26EL  
 1/27/1980	2339 26EL  
 1/29/1980	23E9 26EL  
 1/31/1980	2459 26EL  
 2/ 3/1980	24L9 26EL  
 2/ 5/1980	2579 26EL  
 2/ 7/1980	2579 26EL +
 2/ 8/1980	2609 26EL +
 2/10/1980	2699 264A +
 2/12/1980	2729 264A +
 2/15/1980	27D9 264A +
 2/17/1980	2849 264A +
 2/19/1980	2219 264A +
 2/20/1980	2219 264D  
 2/21/1980	22A9 264D  
 2/23/1980	2339 264D  
 2/25/1980	23E9 264D  
 2/27/1980	2459 264D  
 3/ 1/1980	24L9 264D  
 3/ 3/1980	2579 264D  
 3/ 6/1980	2609 264D  
 3/ 7/1980	2609 2657  
 3/ 8/1980	2699 2657  
 3/11/1980	2729 2657  
 3/12/1980	2069 2657  
 3/13/1980	20P9 2657  
 3/15/1980	2189 2657  
 3/17/1980	1D59 2657  
 3/19/1980	1DL9 2657  
 3/20/1980	1DL9 264E -
 3/21/1980	1E79 264E -
 3/23/1980	1J09 264E -
 3/26/1980	1J99 264E -
 3/28/1980	1L29 264E -
 3/31/1980	1LD9 264E -
 4/ 2/1980	1P49 264E -
 4/ 4/1980	1P49 2658 -
 4/ 5/1980	1PJ9 2658 -
 4/ 7/1980	2069 2658 -
 4/ 9/1980	20P9 2658 -
 4/11/1980	2189 2658 -
 4/13/1980	1D59 2658 -
 4/15/1980	1DL9 2658  
 4/17/1980	1E79 2658  
 4/20/1980	1J09 2659 -
 4/22/1980	1J99 2659 -
 4/24/1980	1L29 2659 -
 4/27/1980	1LD9 2659 -
 4/29/1980	1P49 2659 -
 5/ 2/1980	1PJ9 2659  
 5/ 4/1980	2729 2659  
 5/ 7/1980	27D9 2659  
 5/ 9/1980	2849 2659  
 5/11/1980	2219 2659  
 5/13/1980	22A9 2665  
 5/15/1980	2339 2665  
 5/17/1980	23E9 2665 +
 5/19/1980	2459 2665 +
 5/21/1980	2459 2666  
 5/22/1980	24L9 2666  
 5/24/1980	2579 2666  
 5/27/1980	2609 2666  
 5/29/1980	2699 2666  
 6/ 1/1980	2729 2666 +
 6/ 3/1980	27D9 2666 +
 6/ 5/1980	2849 265A +
 6/ 7/1980	2219 265A +
 6/ 9/1980	22A9 265A +
 6/11/1980	2339 265A +
